rank,rank_score,signature_id,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_debt_minted,total_debt_burned,residual_debt_shares,residual_debt_value,external_value_moved,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,extraction_candidate,insolvency_candidate,reason
35,17820001290999,6,100000000,99/100,1/10,1000,100,123,456,10000000000000,9900000000000,990000000000,9999999900000,9900000000000,989999900000,8910000100000,8910000200000,19899999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
36,17820001290999,6,100000000,99/100,1/10,1000,100,8191,8191,10000000000000,9900000000000,990000000000,9999999900000,9900000000000,989999900000,8910000100000,8910000200000,19899999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
37,4900501080099,1,100000000,99/100,1/100,1000,25,1,1,2500000000000,2475000000000,24750000000,2499999975000,2475000000000,24749975000,2450250025000,2450250050000,4974999975000,2450249975000,75000,980099,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
38,4900501080099,1,100000000,99/100,1/100,1000,25,3,7,2500000000000,2475000000000,24750000000,2499999975000,2475000000000,24749975000,2450250025000,2450250050000,4974999975000,2450249975000,75000,980099,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
39,4900501080099,1,100000000,99/100,1/100,1000,25,11,17,2500000000000,2475000000000,24750000000,2499999975000,2475000000000,24749975000,2450250025000,2450250050000,4974999975000,2450249975000,75000,980099,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
40,4900501080099,1,100000000,99/100,1/100,1000,25,31,67,2500000000000,2475000000000,24750000000,2499999975000,2475000000000,24749975000,2450250025000,2450250050000,4974999975000,2450249975000,75000,980099,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
41,4900501080099,1,100000000,99/100,1/100,1000,25,123,456,2500000000000,2475000000000,24750000000,2499999975000,2475000000000,24749975000,2450250025000,2450250050000,4974999975000,2450249975000,75000,980099,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
42,4900501080099,1,100000000,99/100,1/100,1000,25,8191,8191,2500000000000,2475000000000,24750000000,2499999975000,2475000000000,24749975000,2450250025000,2450250050000,4974999975000,2450249975000,75000,980099,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
43,4702501040499,2,100000000,19/20,1/100,1000,25,1,1,2500000000000,2375000000000,23750000000,2499999975000,2375000000000,23749975000,2351250025000,2351250050000,4874999975000,2351249975000,75000,940499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
44,4702501040499,2,100000000,19/20,1/100,1000,25,3,7,2500000000000,2375000000000,23750000000,2499999975000,2375000000000,23749975000,2351250025000,2351250050000,4874999975000,2351249975000,75000,940499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
