rank,rank_score,simplicity_score,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,survived_constraints,extraction_candidate,shortfall_candidate,rejected_by_constraints,minimal_repro_candidate,reason
24,878503,11679,100,9/10,1/100,1,1,123,456,health_checked,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
25,872704,27482,100,19/20,1/20,1,1,8191,8191,loose,100,95,4,99,0,0,92,93,90,3,900000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
26,862702,27482,100,99/100,1/10,1,1,8191,8191,loose,100,99,9,99,0,0,91,92,89,3,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
27,862700,27482,100,9/10,1/100,1,1,8191,8191,loose,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
28,862700,27482,100,9/10,1/100,1,1,8191,8191,health_checked,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
29,839074,11102,100,9/10,1/20,1,1,1,1,loose,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
30,839074,11102,100,9/10,1/20,1,1,1,1,health_checked,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
31,839074,11102,100,19/20,1/10,1,1,1,1,loose,100,95,9,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
32,838978,11198,100,9/10,1/20,1,1,31,67,loose,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
33,838978,11198,100,9/10,1/20,1,1,31,67,health_checked,100,90,4,99,0,0,87,88,85,3,850000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
