rank,rank_score,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,survived_constraints,extraction_candidate,shortfall_candidate,rejected_by_constraints,reason
38,190001875005,1000000,1/2,1/20,1000,100,31,67,full_protocol_guard,100000000000,50000000000,2500000000,4999500000,0,0,47500100000,47500200000,-47500500000,95000700000,475005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
39,190001875005,1000000,1/2,1/20,1000,100,123,456,full_protocol_guard,100000000000,50000000000,2500000000,4999500000,0,0,47500100000,47500200000,-47500500000,95000700000,475005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
40,190001875005,1000000,1/2,1/20,1000,100,8191,8191,full_protocol_guard,100000000000,50000000000,2500000000,4999500000,0,0,47500100000,47500200000,-47500500000,95000700000,475005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
41,180001850005,1000000,1/2,1/10,1000,100,1,1,full_protocol_guard,100000000000,50000000000,5000000000,9999500000,0,0,45000100000,45000200000,-45000500000,90000700000,450005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
42,180001850005,1000000,1/2,1/10,1000,100,31,67,full_protocol_guard,100000000000,50000000000,5000000000,9999500000,0,0,45000100000,45000200000,-45000500000,90000700000,450005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
43,180001850005,1000000,1/2,1/10,1000,100,123,456,full_protocol_guard,100000000000,50000000000,5000000000,9999500000,0,0,45000100000,45000200000,-45000500000,90000700000,450005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
44,180001850005,1000000,1/2,1/10,1000,100,8191,8191,full_protocol_guard,100000000000,50000000000,5000000000,9999500000,0,0,45000100000,45000200000,-45000500000,90000700000,450005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
45,150001775005,1000000,1/2,1/4,1000,100,1,1,full_protocol_guard,100000000000,50000000000,12500000000,24999500000,0,0,37500100000,37500200000,-37500500000,75000700000,375005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
46,150001775005,1000000,1/2,1/4,1000,100,31,67,full_protocol_guard,100000000000,50000000000,12500000000,24999500000,0,0,37500100000,37500200000,-37500500000,75000700000,375005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
47,150001775005,1000000,1/2,1/4,1000,100,123,456,full_protocol_guard,100000000000,50000000000,12500000000,24999500000,0,0,37500100000,37500200000,-37500500000,75000700000,375005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
48,150001775005,1000000,1/2,1/4,1000,100,8191,8191,full_protocol_guard,100000000000,50000000000,12500000000,24999500000,0,0,37500100000,37500200000,-37500500000,75000700000,375005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
49,150001775005,1000000,3/4,1/2,1000,100,1,1,full_protocol_guard,100000000000,75000000000,37500000000,24999500000,0,0,37500100000,37500200000,-37500500000,75000700000,375005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
50,150001775005,1000000,3/4,1/2,1000,100,31,67,full_protocol_guard,100000000000,75000000000,37500000000,24999500000,0,0,37500100000,37500200000,-37500500000,75000700000,375005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
51,150001775005,1000000,3/4,1/2,1000,100,123,456,full_protocol_guard,100000000000,75000000000,37500000000,24999500000,0,0,37500100000,37500200000,-37500500000,75000700000,375005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
52,148501142499,1000000,3/4,1/100,1000,100,1,1,loose,100000000000,75000000000,750000000,99999900000,0,0,74250100000,74250200000,74249900000,300000,742499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
53,148501142499,1000000,3/4,1/100,1000,100,1,1,health_checked,100000000000,75000000000,750000000,99999900000,0,0,74250100000,74250200000,74249900000,300000,742499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
54,148501142499,1000000,3/4,1/100,1000,100,31,67,loose,100000000000,75000000000,750000000,99999900000,0,0,74250100000,74250200000,74249900000,300000,742499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
55,148501142499,1000000,3/4,1/100,1000,100,31,67,health_checked,100000000000,75000000000,750000000,99999900000,0,0,74250100000,74250200000,74249900000,300000,742499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
56,148501142499,1000000,3/4,1/100,1000,100,123,456,loose,100000000000,75000000000,750000000,99999900000,0,0,74250100000,74250200000,74249900000,300000,742499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
57,148501142499,1000000,3/4,1/100,1000,100,123,456,health_checked,100000000000,75000000000,750000000,99999900000,0,0,74250100000,74250200000,74249900000,300000,742499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
58,148501142499,1000000,3/4,1/100,1000,100,8191,8191,loose,100000000000,75000000000,750000000,99999900000,0,0,74250100000,74250200000,74249900000,300000,742499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
59,148501142499,1000000,3/4,1/100,1000,100,8191,8191,health_checked,100000000000,75000000000,750000000,99999900000,0,0,74250100000,74250200000,74249900000,300000,742499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
60,148501000003,1000000,3/4,1/100,1000,100,1,1,withdraw_guarded,100000000000,75000000000,750000000,25749700000,0,0,74250100000,74250200000,-300000,74250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
61,148501000003,1000000,3/4,1/100,1000,100,1,1,repay_required_before_withdraw,100000000000,75000000000,750000000,25749700000,0,0,74250100000,74250200000,-300000,74250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
