rank,rank_score,flow_type,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,value_ratio_ppm,healthy_pass,pathological_signal,false_positive_risk,reason
43,5000191000,pathological_control,10000000,9/10,1/10,25,10,123,456,full_protocol_guard,2500000000,2250000000,225000000,0,0,250,2025000250,2025000500,-475000000,2500000500,190000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
44,5000191000,pathological_control,10000000,9/10,1/10,25,10,8191,8191,full_protocol_guard,2500000000,2250000000,225000000,0,0,250,2025000250,2025000500,-475000000,2500000500,190000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
45,5000146000,pathological_control,10000000,9/10,1/20,25,10,1,1,full_protocol_guard,2500000000,2250000000,112500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
46,5000146000,pathological_control,10000000,9/10,1/20,25,10,31,67,full_protocol_guard,2500000000,2250000000,112500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
47,5000146000,pathological_control,10000000,9/10,1/20,25,10,123,456,full_protocol_guard,2500000000,2250000000,112500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
48,5000146000,pathological_control,10000000,9/10,1/20,25,10,8191,8191,full_protocol_guard,2500000000,2250000000,112500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
49,5000146000,pathological_control,10000000,19/20,1/10,25,10,1,1,full_protocol_guard,2500000000,2375000000,237500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
50,5000146000,pathological_control,10000000,19/20,1/10,25,10,31,67,full_protocol_guard,2500000000,2375000000,237500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
51,5000146000,pathological_control,10000000,19/20,1/10,25,10,123,456,full_protocol_guard,2500000000,2375000000,237500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
52,5000146000,pathological_control,10000000,19/20,1/10,25,10,8191,8191,full_protocol_guard,2500000000,2375000000,237500000,0,0,250,2137500250,2137500500,-362500000,2500000500,145000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
53,5000110000,pathological_control,10000000,9/10,1/100,25,10,1,1,full_protocol_guard,2500000000,2250000000,22500000,0,0,250,2227500250,2227500500,-272500000,2500000500,109000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
54,5000110000,pathological_control,10000000,9/10,1/100,25,10,31,67,full_protocol_guard,2500000000,2250000000,22500000,0,0,250,2227500250,2227500500,-272500000,2500000500,109000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
55,5000110000,pathological_control,10000000,9/10,1/100,25,10,123,456,full_protocol_guard,2500000000,2250000000,22500000,0,0,250,2227500250,2227500500,-272500000,2500000500,109000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
56,5000110000,pathological_control,10000000,9/10,1/100,25,10,8191,8191,full_protocol_guard,2500000000,2250000000,22500000,0,0,250,2227500250,2227500500,-272500000,2500000500,109000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
57,5000098500,pathological_control,10000000,19/20,1/20,25,10,1,1,full_protocol_guard,2500000000,2375000000,118750000,0,0,250,2256250250,2256250500,-243750000,2500000500,97500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
58,5000098500,pathological_control,10000000,19/20,1/20,25,10,31,67,full_protocol_guard,2500000000,2375000000,118750000,0,0,250,2256250250,2256250500,-243750000,2500000500,97500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
59,5000098500,pathological_control,10000000,19/20,1/20,25,10,123,456,full_protocol_guard,2500000000,2375000000,118750000,0,0,250,2256250250,2256250500,-243750000,2500000500,97500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
60,5000098500,pathological_control,10000000,19/20,1/20,25,10,8191,8191,full_protocol_guard,2500000000,2375000000,118750000,0,0,250,2256250250,2256250500,-243750000,2500000500,97500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
61,5000060500,pathological_control,10000000,19/20,1/100,25,10,1,1,full_protocol_guard,2500000000,2375000000,23750000,0,0,250,2351250250,2351250500,-148750000,2500000500,59500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
62,5000060500,pathological_control,10000000,19/20,1/100,25,10,31,67,full_protocol_guard,2500000000,2375000000,23750000,0,0,250,2351250250,2351250500,-148750000,2500000500,59500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
63,5000060500,pathological_control,10000000,19/20,1/100,25,10,123,456,full_protocol_guard,2500000000,2375000000,23750000,0,0,250,2351250250,2351250500,-148750000,2500000500,59500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
64,5000060500,pathological_control,10000000,19/20,1/100,25,10,8191,8191,full_protocol_guard,2500000000,2375000000,23750000,0,0,250,2351250250,2351250500,-148750000,2500000500,59500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE
65,4901481099,pathological_control,10000000,99/100,1/100,25,10,1,1,loose,2500000000,2475000000,24750000,2499999750,0,0,2450250250,2450250500,2450249750,750,980099,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_NET_EXTERNAL_POSITIVE;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
