rank,rank_score,signature_id,input_value,borrow_ratio,repay_ratio,chain_window,liquidity_drift_step,borrow_drift_step,total_supplied,total_borrowed,total_repaid,total_withdrawn,final_supply_shares,final_debt_shares,final_phantom_debt_value,final_delta,loss_ratio_ppm,max_single_step_delta,max_single_step_phantom_value,survived_chain,amplified,reason
27,267300897000,5,100000000,9/10,1/100,1000,11,17,100000000000,90000000000,900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
28,267300897000,5,100000000,9/10,1/100,1000,31,67,100000000000,90000000000,900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
29,267300897000,5,100000000,9/10,1/100,1000,123,456,100000000000,90000000000,900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
30,267300897000,5,100000000,9/10,1/100,1000,8191,8191,100000000000,90000000000,900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
31,267300897000,6,100000000,99/100,1/10,1000,1,1,100000000000,99000000000,9900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
32,267300897000,6,100000000,99/100,1/10,1000,3,7,100000000000,99000000000,9900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
33,267300897000,6,100000000,99/100,1/10,1000,11,17,100000000000,99000000000,9900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
34,267300897000,6,100000000,99/100,1/10,1000,31,67,100000000000,99000000000,9900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
35,267300897000,6,100000000,99/100,1/10,1000,123,456,100000000000,99000000000,9900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
36,267300897000,6,100000000,99/100,1/10,1000,8191,8191,100000000000,99000000000,9900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
37,256500861000,7,100000000,9/10,1/20,1000,1,1,100000000000,90000000000,4500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
38,256500861000,7,100000000,9/10,1/20,1000,3,7,100000000000,90000000000,4500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
